time,open,high,low,close
1719335640,61669.37,61709.6,61669.37,61704.12
1719335700,61704.11,61726.23,61674.3,61674.31
1719335760,61674.3,61674.31,61638,61638.01
1719335820,61638.01,61650,61618,61650
1719335880,61650,61670,61600.71,61614.02
1719335940,61614.02,61635.94,61614.02,61635.94
1719336000,61635.94,61649.77,61620,61622.2
1719336060,61622.2,61695.6,61622.19,61686
1719336120,61685.99,61720,61668,61707.3
1719336180,61707.3,61737.99,61680,61680.01
1719336240,61680.01,61690,61655.64,61655.65
1719336300,61655.65,61709.27,61655.64,61676
1719336360,61676,61710,61675.99,61710
1719336420,61709.99,61749.99,61709.99,61742.01
1719336480,61742.01,61780,61742,61747.66
1719336540,61747.66,61760,61747.64,61749.4
1719336600,61749.4,61755.99,61696.53,61696.54
1719336660,61696.54,61729.49,61696.53,61719.04
1719336720,61719.04,61719.04,61681.34,61681.34
1719336780,61681.34,61681.34,61630.01,61630.02
1719336840,61630.02,61645.43,61630.01,61633.71
1719336900,61633.7,61641.98,61571.74,61608
1719336960,61608,61650,61602.19,61630.01
1719337020,61630,61660,61624,61660
1719337080,61659.99,61669.36,61627.08,61655.59
1719337140,61655.59,61655.59,61604.53,61604.54
1719337200,61604.54,61620,61604.53,61617.85
1719337260,61617.84,61617.85,61570,61590
1719337320,61590,61590,61579.15,61583.88
1719337380,61583.88,61611.67,61583.87,61611.67
1719337440,61611.67,61635.3,61602,61620.01
1719337500,61620.01,61634,61602.26,61607.99
1719337560,61607.99,61625.42,61600,61607.33
1719337620,61607.33,61607.33,61583.87,61597.92
1719337680,61597.92,61597.92,61570,61580
1719337740,61580,61596,61578.58,61579.99
1719337800,61579.99,61583.41,61545.02,61552
1719337860,61552,61626.81,61551.99,61626.81
1719337920,61626.81,61645.49,61600.01,61600.01
1719337980,61600.01,61600.01,61550,61570
1719338040,61569.99,61569.99,61545.3,61567.89
1719338100,61567.89,61579.99,61515.01,61536.88
1719338160,61536.87,61540,61460,61480
1719338220,61480,61485.98,61410,61418
1719338280,61418,61450,61417.99,61450
1719338340,61450,61450,61381.43,61381.44
1719338400,61381.44,61385.69,61281,61339.14
1719338460,61339.14,61354.47,61239.2,61256
1719338520,61256,61289.36,61248.01,61262.01
1719338580,61262.01,61299,61199,61299
1719338640,61299,61357.99,61288,61357.99
1719338700,61357.99,61403.14,61350.9,61403.14
1719338760,61403.13,61451.4,61403.13,61445.99
1719338820,61445.98,61448.51,61378.72,61378.73
1719338880,61378.73,61395.99,61350.91,61395.99
1719338940,61395.99,61437.23,61395.98,61409.69
1719339000,61409.69,61444.38,61409.69,61430.01
1719339060,61430.01,61430.01,61331.2,61332
1719339120,61332,61368,61189.01,61197.5
1719339180,61197.5,61265.62,61135.37,61265.62
1719339240,61265.61,61341,61265.61,61341
1719339300,61341,61372,61336,61367.83
1719339360,61367.83,61435.49,61367.83,61429.17
1719339420,61429.17,61530,61429.16,61514.04
1719339480,61514.04,61626.03,61502,61618.01
1719339540,61618.01,61638.47,61618,61624.74
1719339600,61624.73,61641.99,61621.01,61621.02
1719339660,61621.01,61640,61606,61639.1
1719339720,61639.09,61684,61608.01,61680.13
1719339780,61680.12,61698,61653.98,61688
1719339840,61687.99,61770,61687.99,61736.01
1719339900,61736,61764,61720.01,61764
1719339960,61766,61769.99,61730,61750.32
1719340020,61750.31,61760,61744.38,61749.99
1719340080,61749.99,61878.61,61749.98,61872.2
1719340140,61872.2,62026.21,61872.2,61991.9
1719340200,61991.9,61991.9,61918.04,61918.05
1719340260,61918.04,61950,61890,61902.02
1719340320,61902.01,61946,61872.72,61896.27
1719340380,61896.26,61985.21,61893.5,61985.2
1719340440,61985.21,62022.42,61941.81,61941.82
1719340500,61941.82,61941.82,61900,61912
1719340560,61912,61955.26,61907.53,61934.98
1719340620,61934.98,62017.19,61934.97,61998.43
1719340680,61998.42,62024.09,61995.93,62002.01
1719340740,62002,62007.58,61983.81,62007.58
1719340800,62007.57,62007.58,61930.48,61960
1719340860,61959.99,61960,61924,61950
1719340920,61949.99,62000,61949.99,61980
1719340980,61979.99,62035.99,61972,62027.2
1719341040,62027.2,62032,62018,62032
1719341100,62032,62074.57,62018.01,62073.84
1719341160,62073.84,62095.69,62048.87,62095.69
1719341220,62095.69,62230,62090.18,62158.77
1719341280,62158.77,62158.77,62006.47,62012
1719341340,62011.99,62044.73,61990,61990.01
1719341400,61990.01,61997.58,61938.85,61966
1719341460,61966,62025.99,61962.01,62025.99
1719341520,62025.99,62166,62022.99,62092.01
1719341580,62092.01,62190.89,62092.01,62190.89
1719341640,62190.88,62204,62146.01,62151.36
1719341700,62151.36,62174,62128.23,62128.24
1719341760,62128.24,62192,62116,62189.28
1719341820,62189.27,62230,62189.27,62209.4
